"e","e"
"e100","e100"
"100","100"
"curcumin","curcumin"
"from","from"
"turmeric","turmeric"
"color","color"
"yellow","yellow"
"orange","orange"
"u","u"
"e101","e101"
"101","101"
"riboflavin","riboflavin"
"vitamin","vitamin"
"b2","b2"
"formerly","formerly"
"called","called"
"lactoflavin","lactoflavin"
"e101a","e101a"
"101a","101a"
"a","a"
"5","5"
"phosphate","phosphate"
"e102","e102"
"102","102"
"tartrazine","tartrazine"
"fd&c","fd&c"
"lemon","lemon"
"e103","e103"
"103","103"
"alkannin","alkannin"
"11","11"
"red","red"
"brown","brown"
"e104","e104"
"104","104"
"quinoline","quinoline"
"ws","ws"
"dull","dull"
"or","or"
"greenish","greenish"
"e105","e105"
"105","105"
"fast","fast"
"ab","ab"
"e106","e106"
"106","106"
"sodium","sodium"
"e107","e107"
"107","107"
"2g","2g"
"e110","e110"
"110","110"
"sunset","sunset"
"fcf","fcf"
"s","s"
"6","6"
"e111","e111"
"111","111"
"ggn","ggn"
"e120","e120"
"120","120"
"cochineal","cochineal"
"carminic","carminic"
"acid","acid"
"carmine","carmine"
"natural","natural"
"4","4"
"crimson","crimson"
"e121","e121"
"121","121"
"citrus","citrus"
"2","2"
"dark","dark"
"e122","e122"
"122","122"
"carmoisine","carmoisine"
"azorubine","azorubine"
"to","to"
"maroon","maroon"
"e123","e123"
"123","123"
"amaranth","amaranth"
"e124","e124"
"124","124"
"ponceau","ponceau"
"4r","4r"
"brilliant","brilliant"
"scarlet","scarlet"
"e125","e125"
"125","125"
"sx","sx"
"gn","gn"
"e126","e126"
"126","126"
"6r","6r"
"e127","e127"
"127","127"
"erythrosine","erythrosine"
"3","3"
"e128","e128"
"128","128"
"e129","e129"
"129","129"
"allura","allura"
"ac","ac"
"40","40"
"e130","e130"
"130","130"
"indanthrene","indanthrene"
"blue","blue"
"rs","rs"
"e131","e131"
"131","131"
"patent","patent"
"v","v"
"e132","e132"
"132","132"
"indigo","indigo"
"indigotine","indigotine"
"e133","e133"
"133","133"
"1","1"
"reddish","reddish"
"e140","e140"
"140","140"
"chlorophylls","chlorophylls"
"and","and"
"chlorophyllins","chlorophyllins"
"i","i"
"ii","ii"
"green","green"
"e141","e141"
"141","141"
"copper","copper"
"complexes","complexes"
"of","of"
"e142","e142"
"142","142"
"e143","e143"
"143","143"
"sea","sea"
"e150","e150"
"e150a","e150a"
"150","150"
"150a","150a"
"plain","plain"
"caramel","caramel"
"e150b","e150b"
"150b","150b"
"b","b"
"caustic","caustic"
"sulphite","sulphite"
"e150c","e150c"
"150c","150c"
"c","c"
"ammonia","ammonia"
"e150d","e150d"
"150d","150d"
"d","d"
"e151","e151"
"151","151"
"black","black"
"pn","pn"
"bn","bn"
"e152","e152"
"152","152"
"carbon","carbon"
"hydrocarbon","hydrocarbon"
"e153","e153"
"153","153"
"vegetable","vegetable"
"e154","e154"
"154","154"
"fk","fk"
"kipper","kipper"
"e155","e155"
"155","155"
"ht","ht"
"chocolate","chocolate"
"e160","e160"
"e160a","e160a"
"160","160"
"160a","160a"
"alpha","alpha"
"carotene","carotene"
"beta","beta"
"gamma","gamma"
"e160b","e160b"
"160b","160b"
"annatto","annatto"
"bixin","bixin"
"norbixin","norbixin"
"e160c","e160c"
"160c","160c"
"paprika","paprika"
"oleoresin","oleoresin"
"capsanthin","capsanthin"
"capsorubin","capsorubin"
"e160d","e160d"
"160d","160d"
"lycopene","lycopene"
"bright","bright"
"deep","deep"
"e160e","e160e"
"160e","160e"
"apo","apo"
"8","8"
"carotenal","carotenal"
"30","30"
"e160f","e160f"
"160f","160f"
"f","f"
"ethyl","ethyl"
"ester","ester"
"carotenic","carotenic"
"e161","e161"
"e161a","e161a"
"161","161"
"161a","161a"
"flavoxanthin","flavoxanthin"
"golden","golden"
"brownish","brownish"
"e161b","e161b"
"161b","161b"
"lutein","lutein"
"e161c","e161c"
"161c","161c"
"cryptoxanthin","cryptoxanthin"
"e161d","e161d"
"161d","161d"
"rubixanthin","rubixanthin"
"e161e","e161e"
"161e","161e"
"violaxanthin","violaxanthin"
"e161f","e161f"
"161f","161f"
"rhodoxanthin","rhodoxanthin"
"purple","purple"
"e161g","e161g"
"161g","161g"
"g","g"
"canthaxanthin","canthaxanthin"
"violet","violet"
"e161h","e161h"
"161h","161h"
"h","h"
"zeaxanthin","zeaxanthin"
"e161i","e161i"
"161i","161i"
"citranaxanthin","citranaxanthin"
"e161j","e161j"
"161j","161j"
"j","j"
"astaxanthin","astaxanthin"
"e162","e162"
"162","162"
"beetroot","beetroot"
"betanin","betanin"
"e163","e163"
"163","163"
"anthocyanins","anthocyanins"
"ph","ph"
"dependent","dependent"
"ranges","ranges"
"e164","e164"
"164","164"
"saffron","saffron"
"colour?","colour?"
"e170","e170"
"170","170"
"calcium","calcium"
"carbonate","carbonate"
"chalk","chalk"
"white","white"
"e171","e171"
"171","171"
"titanium","titanium"
"dioxide","dioxide"
"e172","e172"
"172","172"
"iron","iron"
"oxides","oxides"
"hydroxides","hydroxides"
"e173","e173"
"173","173"
"aluminium","aluminium"
"silver","silver"
"grey","grey"
"e174","e174"
"174","174"
"e175","e175"
"175","175"
"gold","gold"
"e180","e180"
"180","180"
"pigment","pigment"
"rubine","rubine"
"lithol","lithol"
"bk","bk"
"e181","e181"
"181","181"
"tannin","tannin"
"e182","e182"
"182","182"
"orcein","orcein"
"orchil","orchil"
"e200","e200"
"200","200"
"sorbic","sorbic"
"preservative","preservative"
"e201","e201"
"201","201"
"sorbate","sorbate"
"e202","e202"
"202","202"
"potassium","potassium"
"e203","e203"
"203","203"
"e209","e209"
"209","209"
"heptyl","heptyl"
"p","p"
"hydroxybenzoate","hydroxybenzoate"
"e210","e210"
"210","210"
"benzoic","benzoic"
"e211","e211"
"211","211"
"benzoate","benzoate"
"e212","e212"
"212","212"
"e213","e213"
"213","213"
"e214","e214"
"214","214"
"ethylparaben","ethylparaben"
"para","para"
"e215","e215"
"215","215"
"e216","e216"
"216","216"
"propylparaben","propylparaben"
"propyl","propyl"
"e217","e217"
"217","217"
"e218","e218"
"218","218"
"methylparaben","methylparaben"
"methyl","methyl"
"e219","e219"
"219","219"
"e220","e220"
"220","220"
"sulphur","sulphur"
"e221","e221"
"221","221"
"e222","e222"
"222","222"
"bisulphite","bisulphite"
"hydrogen","hydrogen"
"e223","e223"
"223","223"
"metabisulphite","metabisulphite"
"e224","e224"
"224","224"
"e225","e225"
"225","225"
"e226","e226"
"226","226"
"e227","e227"
"227","227"
"firming","firming"
"agent","agent"
"e228","e228"
"228","228"
"e230","e230"
"230","230"
"biphenyl","biphenyl"
"diphenyl","diphenyl"
"e231","e231"
"231","231"
"orthophenyl","orthophenyl"
"phenol","phenol"
"e232","e232"
"232","232"
"e233","e233"
"233","233"
"thiabendazole","thiabendazole"
"e234","e234"
"234","234"
"nisin","nisin"
"e235","e235"
"235","235"
"natamycin","natamycin"
"pimaracin","pimaracin"
"e236","e236"
"236","236"
"formic","formic"
"e237","e237"
"237","237"
"formate","formate"
"e238","e238"
"238","238"
"e239","e239"
"239","239"
"hexamine","hexamine"
"hexamethylene","hexamethylene"
"tetramine","tetramine"
"e240","e240"
"240","240"
"formaldehyde","formaldehyde"
"e242","e242"
"242","242"
"dimethyl","dimethyl"
"dicarbonate","dicarbonate"
"e249","e249"
"249","249"
"nitrite","nitrite"
"e250","e250"
"250","250"
"e251","e251"
"251","251"
"nitrate","nitrate"
"chile","chile"
"saltpeter","saltpeter"
"e252","e252"
"252","252"
"saltpetre","saltpetre"
"e260","e260"
"260","260"
"acetic","acetic"
"acidity","acidity"
"regulator","regulator"
"e261","e261"
"261","261"
"acetate","acetate"
"e262","e262"
"262","262"
"acetates","acetates"
"diacetate","diacetate"
"e263","e263"
"263","263"
"e264","e264"
"264","264"
"ammonium","ammonium"
"e265","e265"
"265","265"
"dehydroacetic","dehydroacetic"
"e266","e266"
"266","266"
"dehydroacetate","dehydroacetate"
"e270","e270"
"270","270"
"lactic","lactic"
"antioxidant","antioxidant"
"e280","e280"
"280","280"
"propionic","propionic"
"e281","e281"
"281","281"
"propionate","propionate"
"e282","e282"
"282","282"
"e283","e283"
"283","283"
"e284","e284"
"284","284"
"boric","boric"
"e285","e285"
"285","285"
"tetraborate","tetraborate"
"borax","borax"
"e290","e290"
"290","290"
"e296","e296"
"296","296"
"malic","malic"
"e297","e297"
"297","297"
"fumaric","fumaric"
"e300","e300"
"300","300"
"ascorbic","ascorbic"
"e301","e301"
"301","301"
